raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
1242.831,1406.1,1552.785,1591.85
1245.225,1412.5,1555.088,1613.7
1247.617,1415.2,1557.39,1630.5
1250.009,1397.4,1559.692,1681.4
1252.4,1379.35,1561.993,1690.45
1254.79,1345.95,1564.294,1777.85
1257.18,1305.8,1566.594,1846.05
1259.569,1284.9,1568.893,1948.95
1261.958,1244.8,1571.192,2085.9
1264.345,1220.6,1573.49,2312.7
1266.732,1226.1,1575.787,2579.25
1269.118,1226.0,1578.083,2940.1
1271.504,1234.15,1580.379,3547.25
1273.889,1238.7,1582.675,4274.7
1276.273,1243.65,1584.969,4876.45
1278.656,1233.35,1587.263,5063.35
1281.039,1249.1,1589.556,5003.65
1283.421,1247.5,1591.849,4721.7
1285.802,1245.05,1594.141,4339.35
1288.183,1235.6,1596.432,4292.05
1290.563,1246.5,1598.723,4844.3
1292.942,1233.3,nan,nan
1295.321,1248.7,nan,nan
1297.699,1262.5,nan,nan
1300.076,1266.9,nan,nan
1302.452,1299.9,nan,nan
1304.828,1343.75,nan,nan
1307.203,1396.45,nan,nan
1309.578,1444.9,nan,nan
1311.951,1502.45,nan,nan
1314.324,1528.3,nan,nan
1316.697,1515.05,nan,nan
1319.068,1522.9,nan,nan
1321.439,1486.85,nan,nan
1323.81,1466.6,nan,nan
1326.179,1502.85,nan,nan
1328.548,1563.1,nan,nan
1330.916,1642.1,nan,nan
1333.284,1676.0,nan,nan
1335.65,1664.05,nan,nan
1338.017,1635.55,nan,nan
1340.382,1550.25,nan,nan
1342.747,1507.85,nan,nan
1345.111,1457.1,nan,nan
1347.474,1431.2,nan,nan
1349.837,1442.55,nan,nan
1352.199,1453.75,nan,nan
1354.56,1478.75,nan,nan
1356.92,1524.95,nan,nan
1359.28,1579.05,nan,nan
1361.64,1618.15,nan,nan
1363.998,1730.4,nan,nan
1366.356,1838.1,nan,nan
1368.713,2033.9,nan,nan
1371.07,2282.95,nan,nan
1373.425,2820.05,nan,nan
1375.78,3725.85,nan,nan
1378.135,4620.25,nan,nan
1380.489,5016.2,nan,nan
1382.842,5020.5,nan,nan
1385.194,4608.45,nan,nan
1387.546,3783.7,nan,nan
1389.897,2925.65,nan,nan
1392.247,2404.2,nan,nan
1394.597,2139.0,nan,nan
1396.946,1953.5,nan,nan
1399.294,1856.95,nan,nan
1401.641,1724.05,nan,nan
1403.988,1702.4,nan,nan
1406.335,1704.45,nan,nan
1408.68,1685.4,nan,nan
1411.025,1697.9,nan,nan
1413.369,1740.1,nan,nan
1415.713,1756.75,nan,nan
1418.055,1820.85,nan,nan
1420.398,1845.35,nan,nan
1422.739,1906.6,nan,nan
1425.08,1985.75,nan,nan
1427.42,2078.05,nan,nan
1429.759,2160.6,nan,nan
1432.098,2236.15,nan,nan
1434.436,2316.2,nan,nan
1436.773,2391.35,nan,nan
1439.11,2438.3,nan,nan
1441.446,2475.25,nan,nan
1443.781,2447.8,nan,nan
1446.116,2437.7,nan,nan
1448.45,2393.2,nan,nan
1450.783,2348.8,nan,nan
1453.116,2286.35,nan,nan
1455.448,2236.0,nan,nan
1457.779,2186.45,nan,nan
1460.11,2134.0,nan,nan
1462.44,2089.0,nan,nan
1464.769,2050.85,nan,nan
1467.098,2015.7,nan,nan
1469.426,1952.0,nan,nan
1471.753,1920.3,nan,nan
1474.08,1882.2,nan,nan
1476.405,1855.1,nan,nan
1478.731,1811.8,nan,nan
1481.055,1790.7,nan,nan
1483.379,1780.2,nan,nan
1485.702,1740.6,nan,nan
1488.025,1752.1,nan,nan
1490.347,1783.1,nan,nan
1492.668,1847.2,nan,nan
1494.989,1901.2,nan,nan
1497.308,1890.4,nan,nan
1499.628,1887.65,nan,nan
1501.946,1849.75,nan,nan
1504.264,1759.55,nan,nan
1506.581,1694.9,nan,nan
1508.898,1628.25,nan,nan
1511.213,1614.5,nan,nan
1513.529,1591.35,nan,nan
1515.843,1549.55,nan,nan
1518.157,1553.3,nan,nan
1520.47,1544.65,nan,nan
1522.783,1550.65,nan,nan
1525.095,1541.1,nan,nan
1527.406,1525.55,nan,nan
1529.716,1536.7,nan,nan
1532.026,1518.15,nan,nan
1534.335,1524.2,nan,nan
1536.644,1518.55,nan,nan
1538.952,1527.2,nan,nan
1541.259,1523.4,nan,nan
1543.565,1524.2,nan,nan
1545.871,1531.85,nan,nan
1548.176,1542.2,nan,nan
1550.481,1566.6,nan,nan
1552.785,1591.85,nan,nan
1555.088,1613.7,nan,nan
1557.39,1630.5,nan,nan
1559.692,1681.4,nan,nan
1561.993,1690.45,nan,nan
1564.294,1777.85,nan,nan
1566.594,1846.05,nan,nan
1568.893,1948.95,nan,nan
1571.192,2085.9,nan,nan
1573.49,2312.7,nan,nan
1575.787,2579.25,nan,nan
1578.083,2940.1,nan,nan
1580.379,3547.25,nan,nan
1582.675,4274.7,nan,nan
1584.969,4876.45,nan,nan
1587.263,5063.35,nan,nan
1589.556,5003.65,nan,nan
1591.849,4721.7,nan,nan
1594.141,4339.35,nan,nan
1596.432,4292.05,nan,nan
1598.723,4844.3,nan,nan
1601.013,5996.45,nan,nan
1603.302,7152.45,nan,nan
1605.591,7746.85,nan,nan
1607.879,7607.25,nan,nan
1610.166,6915.4,nan,nan
1612.453,5646.35,nan,nan
1614.739,4393.45,nan,nan
1617.024,3561.05,nan,nan
1619.309,3116.85,nan,nan
1621.593,2831.7,nan,nan
1623.877,2651.05,nan,nan
